attribute_id,attribute_name,DisToAll,Chicken,Pizza,Burger,Salad,Pasta,Sushi,Steak,Tacos,Soup,Sandwich,Fries,Hotdog,Curry,Rice,Fish,Cake
3298,flowerbed,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3299,hamtaro,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3300,rubber,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3301,spreckels,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3302,cottage,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3303,eski,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3304,full-on,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3305,maquiladoras,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3306,doper,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3307,galah,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3308,lout,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3309,importuning,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3310,orange-colored,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3311,frame-up,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3312,boxcutter,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3313,gigue,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3314,lunchbox,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3315,leather-clad,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3316,mcchicken,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3317,trichuris,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3318,isocyanide,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3319,izakaya,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
